vmax,load_mult,pv_mult,status,objective,maxgap,maxratio,n_at_vmax,min_branch_P,vpeak,exact,class,secs,fail_reason
1.05,0.95,0.4,SOLVED,-41198.29848918942,1.5662138075356324e-7,0.13285398412908792,0,-0.08696601508664746,0.9997520937805182,true,exact,55.02319288253784,
1.05,0.95,0.7,SOLVED,-41107.52657325264,3.082511438101676e-6,2.905046276339158,0,-1.8494514419379637,1.0003620484812519,false,inexact,14.237446069717407,
1.05,0.95,1.0,SOLVED,-41018.715119678396,7.722993154365976e-8,0.06375528263230987,0,-3.5329295377513383,1.011891831451203,true,exact,17.520124912261963,
1.05,0.95,1.3,SOLVED,-40946.787979928,2.427860695208839e-6,1.1305456767896818,0,-3.584895760281052,1.0119945931405865,false,inexact,19.486743927001953,
1.05,0.95,1.7,SOLVED,-40896.27714044896,8.082007626891707e-7,0.33768975208645,0,-3.5683822909664267,1.0133555192993224,true,exact,22.199689149856567,
1.05,0.95,2.2,SOLVED,-40849.530373477624,4.011311691892727e-6,1.0882900976255008,0,-3.7970716967253044,1.015810653104685,false,inexact,20.10482096672058,
1.05,1.0,0.4,SOLVED,-41215.37474363096,3.970317867651313e-7,0.3862859529600437,0,-0.0776798827315256,0.9997227525665391,true,exact,14.319408178329468,
1.05,1.0,0.7,SOLVED,-41124.42072290259,2.762772083109155e-6,2.5344655667476848,0,-1.6886579529324297,1.0003050907599278,false,inexact,11.466095924377441,
1.05,1.0,1.0,SOLVED,-41035.403641807425,2.016911032853841e-6,1.7273231560175266,0,-3.5069031659663583,1.0104680034593303,false,inexact,14.81998085975647,
1.05,1.0,1.3,SOLVED,-40960.21375704935,4.29345144119242e-6,1.7439133336634975,0,-3.57314995325445,1.010581984514405,false,inexact,17.617107152938843,
1.05,1.0,1.7,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,guard,18.072524070739746,"Battery complementarity violated at bus 5, t=16: p_ch·p_dch = 1.1066386901723e-6 ≥ τ·Pmax² = 6.250000000000002e-7 (relative τ=0.001, Pmax≈0.025; App. C, threat T-03-13)"
1.05,1.0,2.2,SOLVED,-40860.540762196506,1.16278557573124e-5,3.221249096950354,0,-3.7722296562506252,1.0143682139604961,false,inexact,20.583152055740356,
1.05,1.05,0.4,SOLVED,-41232.4892631387,2.2860302895111317e-7,0.18294041544897338,0,-0.06838249844548587,0.9996932351903509,true,exact,11.209753036499023,
1.05,1.05,0.7,SOLVED,-41141.352213570615,5.115645248743306e-6,4.760438598548323,0,-1.532642241712579,1.0002479556690862,false,inexact,12.747631072998047,
1.05,1.05,1.0,SOLVED,-41052.15197332592,1.2234873381089528e-7,0.09100818637303762,0,-3.4794292827579705,1.0090642664166312,true,exact,14.241528034210205,
